DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,DATE,month,year,SHIFT_START_CATEGORY,SHIFT_END_CATEGORY,ID_COUNT,holiday
2021-05-28,Fri,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,4771,Paid,1900-01-01 12:00:00,10.0,2023-12-05 18:00:00,360,33.0,0.0,72.0,45.0,2021-05-28,5,2021,Afternoon,Evening,55,0
2021-05-28,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4174,Paid,1900-01-01 12:00:00,1.0,2023-12-05 18:00:00,360,13.0,0.0,72.0,45.0,2021-05-28,5,2021,Afternoon,Evening,131,0
2021-05-28,Fri,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 12:00:00,0.0,2023-12-05 18:00:00,360,1.0,0.0,72.0,45.0,2021-05-28,5,2021,Afternoon,Evening,56,0
2021-05-28,Fri,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4485,Paid,1900-01-01 12:00:00,1.0,2023-12-05 18:00:00,360,2.0,0.0,72.0,45.0,2021-05-28,5,2021,Afternoon,Evening,16,0
2021-05-29,Sat,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,1900-01-01 07:00:00,1.0,2023-12-05 17:00:00,600,11.0,0.02,62.0,45.0,2021-05-29,5,2021,Early Morning,Late Afternoon,57,1
2021-05-29,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,5105,Paid,1900-01-01 07:00:00,0.0,2023-12-05 17:00:00,600,8.0,0.02,62.0,45.0,2021-05-29,5,2021,Early Morning,Late Afternoon,35,1
2021-05-29,Sat,Old Kents Hill Road,Readfield,Torsey Lake,3504,Paid,1900-01-01 13:00:00,3.0,2023-12-05 19:00:00,360,10.0,0.02,62.0,45.0,2021-05-29,5,2021,Afternoon,Evening,109,1
2021-05-29,Sat,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,4771,Paid,1900-01-01 07:00:00,0.0,2023-12-05 17:00:00,600,17.0,0.02,62.0,45.0,2021-05-29,5,2021,Early Morning,Late Afternoon,55,1
2021-05-29,Sat,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4715,Paid,1900-01-01 13:00:00,2.0,2023-12-05 19:00:00,360,8.0,0.02,62.0,45.0,2021-05-29,5,2021,Afternoon,Evening,11,1
2021-05-29,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5005,Paid,1900-01-01 13:00:00,1.0,2023-12-05 19:00:00,360,12.0,0.02,62.0,45.0,2021-05-29,5,2021,Afternoon,Evening,8,1
2021-05-29,Sat,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,1900-01-01 07:00:00,2.0,2023-12-05 17:00:00,600,2.0,0.02,62.0,45.0,2021-05-29,5,2021,Early Morning,Late Afternoon,29,1
2021-05-29,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,1900-01-01 01:00:00,0.0,2023-12-05 13:00:00,720,11.0,0.02,62.0,45.0,2021-05-29,5,2021,Early Morning,Afternoon,58,1
2021-05-29,Sat,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,5322,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,3.0,0.02,62.0,45.0,2021-05-29,5,2021,Early Morning,Afternoon,8,1
2021-05-29,Sat,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,1900-01-01 07:00:00,2.0,2023-12-05 17:00:00,600,11.0,0.02,62.0,45.0,2021-05-29,5,2021,Early Morning,Late Afternoon,131,1
