DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,TOBS
2021-05-28,Fri,Launch Drive,Monmouth,Cobbosseecontee Lake,4771,Paid,12:00,10.0,18:00,360,33.0,0.0,72.0,45.0,49.0
2021-05-28,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4174,Paid,12:00,1.0,18:00,360,13.0,0.0,72.0,45.0,49.0
2021-05-28,Fri,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,12:00,0.0,18:00,360,1.0,0.0,72.0,45.0,49.0
2021-05-28,Fri,East Winthrop,Winthrop,Cobbosseecontee Lake,4485,Paid,12:00,1.0,18:00,360,2.0,0.0,72.0,45.0,49.0
2021-05-29,Sat,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,7:00,1.0,17:00,600,11.0,0.02,62.0,45.0,46.0
2021-05-29,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,5105,Paid,7:00,0.0,17:00,600,8.0,0.02,62.0,45.0,46.0
2021-05-29,Sat,Old Kents Hill Road,Readfield,Torsey Lake,3504,Paid,13:00,3.0,19:00,360,10.0,0.02,62.0,45.0,46.0
2021-05-29,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,4771,Paid,7:00,0.0,17:00,600,17.0,0.02,62.0,45.0,46.0
2021-05-29,Sat,East Winthrop,Winthrop,Cobbosseecontee Lake,4715,Paid,13:00,2.0,19:00,360,8.0,0.02,62.0,45.0,46.0
2021-05-29,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5005,Paid,13:00,1.0,19:00,360,12.0,0.02,62.0,45.0,46.0
2021-05-29,Sat,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,2.0,17:00,600,2.0,0.02,62.0,45.0,46.0
2021-05-29,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,1:00,0.0,13:00,720,11.0,0.02,62.0,45.0,46.0
