SITE_NAME,DATE1,DAY_OF_WEEK,INSPECTOR_ID,PAY_VOL,SHIFT_START,SHIFT_END,TOTALINSP,NUMINVASIVE,TOWN,WATERBODY,SHIFT_LENGTH,DATE,month,year
Launch Drive,05/28/2021,Fri,4771,1,12:00,18:00,33.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-05-28,5,2021
East Winthrop,05/28/2021,Fri,4485,1,12:00,18:00,2.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-05-28,5,2021
Augusta West Kampground,05/28/2021,Fri,4769,1,12:00,18:00,1.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-05-28,5,2021
Whippoorwill Road,05/28/2021,Fri,4174,1,12:00,18:00,13.0,0.0,Litchfield,Woodbury Pond,360.0,2021-05-28,5,2021
Thorofare Rd,05/29/2021,Sat,4944,1,07:00,17:00,11.0,0.0,Litchfield,Pleasant Pond,600.0,2021-05-29,5,2021
Whippoorwill Road,05/29/2021,Sat,5105,1,07:00,17:00,8.0,0.0,Litchfield,Woodbury Pond,600.0,2021-05-29,5,2021
Old Kents Hill Road,05/29/2021,Sat,3504,1,13:00,19:00,10.0,0.0,Readfield,Torsey Lake,360.0,2021-05-29,5,2021
Augusta West Kampground,05/29/2021,Sat,4769,1,08:00,18:00,11.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-05-29,5,2021
Old Kents Hill Road,05/29/2021,Sat,5006,1,07:00,13:00,11.0,0.0,Readfield,Torsey Lake,360.0,2021-05-29,5,2021
Rt 41 North Basin Maranacook,05/29/2021,Sat,5305,1,01:00,13:00,11.0,0.0,Readfield,Maranacook Lake,720.0,2021-05-29,5,2021
Beach Road,05/29/2021,Sat,4174,1,07:00,17:00,11.0,0.0,Monmouth,Cochnewagon Pond,600.0,2021-05-29,5,2021
Norcross Point South Basin Maranacook,05/29/2021,Sat,3796,1,07:00,17:00,8.0,0.0,Winthrop,Maranacook Lake,600.0,2021-05-29,5,2021
East Winthrop,05/29/2021,Sat,4715,1,13:00,19:00,8.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-05-29,5,2021
Wilson Pond Road,05/29/2021,Sat,4770,1,07:00,17:00,2.0,0.0,Monmouth,Wilson Pond,600.0,2021-05-29,5,2021
Launch Drive,05/29/2021,Sat,4771,1,07:00,17:00,17.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-05-29,5,2021
Rt 41 North Basin Maranacook,05/29/2021,Sat,5005,1,13:00,19:00,12.0,0.0,Readfield,Maranacook Lake,360.0,2021-05-29,5,2021
East Winthrop,05/29/2021,Sat,5322,1,07:00,13:00,3.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-05-29,5,2021
Beach Road,05/30/2021,Sun,4174,1,07:00,15:00,4.0,0.0,Monmouth,Cochnewagon Pond,480.0,2021-05-30,5,2021
East Winthrop,05/30/2021,Sun,5322,1,07:00,13:00,4.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-05-30,5,2021
Rt 41 North Basin Maranacook,05/30/2021,Sun,5305,1,07:00,13:00,3.0,0.0,Readfield,Maranacook Lake,360.0,2021-05-30,5,2021
Whippoorwill Road,05/30/2021,Sun,5105,1,07:00,17:00,9.0,0.0,Litchfield,Woodbury Pond,600.0,2021-05-30,5,2021
Rt 41 North Basin Maranacook,05/30/2021,Sun,5005,1,13:00,18:00,3.0,0.0,Readfield,Maranacook Lake,300.0,2021-05-30,5,2021
East Winthrop,05/30/2021,Sun,4715,1,13:00,15:33,7.0,0.0,Winthrop,Cobbosseecontee Lake,153.0,2021-05-30,5,2021
Wilson Pond Road,05/30/2021,Sun,4770,1,07:00,15:00,8.0,0.0,Monmouth,Wilson Pond,480.0,2021-05-30,5,2021
Norcross Point South Basin Maranacook,05/30/2021,Sun,3796,1,07:00,15:00,4.0,0.0,Winthrop,Maranacook Lake,480.0,2021-05-30,5,2021
Launch Drive,05/30/2021,Sun,4771,1,07:00,14:30,12.0,0.0,Launch Drive,Cobbosseecontee Lake,450.0,2021-05-30,5,2021
Old Kents Hill Road,05/30/2021,Sun,3504,1,13:00,14:35,2.0,0.0,Readfield,Torsey Lake,95.0,2021-05-30,5,2021
Thorofare Rd,05/30/2021,Sun,4944,1,07:00,14:30,13.0,0.0,Litchfield,Pleasant Pond,450.0,2021-05-30,5,2021
Old Kents Hill Road,05/30/2021,Sun,5006,1,07:00,13:00,5.0,0.0,Readfield,Torsey Lake,360.0,2021-05-30,5,2021
East Winthrop,06/04/2021,Fri,4485,1,12:00,18:00,5.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-04,6,2021
Thorofare Rd,06/04/2021,Fri,3504,1,12:00,18:00,17.0,0.0,Litchfield,Pleasant Pond,360.0,2021-06-04,6,2021
Augusta West Kampground,06/04/2021,Fri,4769,1,12:00,18:00,1.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-04,6,2021
Whippoorwill Road,06/04/2021,Fri,4174,1,12:00,18:00,16.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-04,6,2021
Launch Drive,06/04/2021,Fri,3796,1,12:00,18:00,25.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-04,6,2021
Rt 41 North Basin Maranacook,06/05/2021,Sat,4743,1,07:00,17:00,34.0,0.0,Readfield,Maranacook Lake,600.0,2021-06-05,6,2021
Norcross Point South Basin Maranacook,06/05/2021,Sat,3796,1,07:00,17:00,62.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-05,6,2021
Whippoorwill Road,06/05/2021,Sat,5304,1,07:00,17:00,34.0,0.0,Litchfield,Woodbury Pond,600.0,2021-06-05,6,2021
Wilson Pond Road,06/05/2021,Sat,4770,1,07:00,17:00,19.0,0.0,Monmouth,Wilson Pond,600.0,2021-06-05,6,2021
Thorofare Rd,06/05/2021,Sat,4944,1,07:00,17:00,69.0,0.0,Litchfield,Pleasant Pond,600.0,2021-06-05,6,2021
Beach Road,06/05/2021,Sat,4174,1,12:00,19:00,47.0,0.0,Monmouth,Cochnewagon Pond,420.0,2021-06-05,6,2021
Old Kents Hill Road,06/05/2021,Sat,3504,1,13:00,19:00,26.0,0.0,Readfield,Torsey Lake,360.0,2021-06-05,6,2021
East Winthrop,06/05/2021,Sat,5322,1,07:00,13:00,11.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-05,6,2021
Launch Drive,06/05/2021,Sat,4485,1,07:00,17:00,105.0,0.0,Launch Drive,Cobbosseecontee Lake,600.0,2021-06-05,6,2021
East Winthrop,06/05/2021,Sat,4715,1,14:00,19:00,19.0,0.0,Winthrop,Cobbosseecontee Lake,300.0,2021-06-05,6,2021
Augusta West Kampground,06/05/2021,Sat,4769,1,08:00,18:00,9.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-06-05,6,2021
Old Kents Hill Road,06/05/2021,Sat,5222,1,07:00,13:00,5.0,0.0,Readfield,Torsey Lake,360.0,2021-06-05,6,2021
Rt 41 North Basin Maranacook,06/06/2021,Sun,5305,1,07:00,13:00,45.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-06,6,2021
Whippoorwill Road,06/06/2021,Sun,5304,1,13:00,19:00,9.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-06,6,2021
Augusta West Kampground,06/06/2021,Sun,4769,1,08:00,18:00,8.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-06-06,6,2021
Beach Road,06/06/2021,Sun,4174,1,13:00,19:00,49.0,0.0,Monmouth,Cochnewagon Pond,360.0,2021-06-06,6,2021
Norcross Point South Basin Maranacook,06/06/2021,Sun,3796,1,07:00,17:00,51.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-06,6,2021
Beach Road,06/06/2021,Sun,5306,1,07:30,13:00,18.0,0.0,Monmouth,Cochnewagon Pond,330.0,2021-06-06,6,2021
Thorofare Rd,06/06/2021,Sun,4944,1,07:00,15:00,74.0,0.0,Litchfield,Pleasant Pond,480.0,2021-06-06,6,2021
Old Kents Hill Road,06/06/2021,Sun,5006,1,07:00,13:00,9.0,0.0,Readfield,Torsey Lake,360.0,2021-06-06,6,2021
Whippoorwill Road,06/06/2021,Sun,5105,1,07:00,13:00,63.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-06,6,2021
East Winthrop,06/06/2021,Sun,4715,1,13:00,19:00,23.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-06,6,2021
Rt 41 North Basin Maranacook,06/06/2021,Sun,4743,1,13:00,19:00,40.0,0.0,Readfield,Maranacook Lake,360.0,2021-06-06,6,2021
Launch Drive,06/06/2021,Sun,4771,1,13:00,19:00,78.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-06,6,2021
Wilson Pond Road,06/06/2021,Sun,4770,1,07:00,17:00,23.0,0.0,Monmouth,Wilson Pond,600.0,2021-06-06,6,2021
